,Model,dataset,Replacement Strategy,accuracy,time,features
92,Linear Regression,blood,Copula,99.00873244,0.009867,4
93,Linear Regression,blood,Marginal,99.12669847,0.02704471335,4
94,Linear Regression,blood,Mean,90.58536275,1.1003142909999999e-05,4
96,Linear Regression,blood,Separate models,99.82669847,0.2567777634,4
97,Linear Regression,blood,Uniform,96.26119402,0.0001678734231,4
98,Linear Regression,blood,Zero,99.51332138,9.910500483999999e-06,4
99,Linear Regression,const-maint,Conditional,99.74769504,0.006069,4
100,Linear Regression,const-maint,Copula,99.74769505,0.004748,4
101,Linear Regression,const-maint,Gaussian,99.74769492,0.012585,4
102,Linear Regression,const-maint,Marginal,99.74769497,0.005375578185,4
103,Linear Regression,const-maint,Mean,99.74769497,1.374071295e-05,4
105,Linear Regression,const-maint,Separate models,99.94769497,0.2681112289,4
106,Linear Regression,const-maint,Uniform,99.74175589,5.1200823349999995e-06,4
107,Linear Regression,const-maint,Zero,86.91839960271895,1.3243501840000001e-05,4
108,Linear Regression,diamonds_filter,Conditional,99.57277158,0.006951,4
109,Linear Regression,diamonds_filter,Copula,99.57277151,0.007143,4
110,Linear Regression,diamonds_filter,Gaussian,99.57277152,0.014521,4
111,Linear Regression,diamonds_filter,Marginal,99.57277156,0.020243572765000002,4
112,Linear Regression,diamonds_filter,Mean,99.57277156,1.233799289e-05,4
114,Linear Regression,diamonds_filter,Separate models,99.99965918,0.2525889874,4
115,Linear Regression,diamonds_filter,Uniform,99.57277156,0.00016249644760000002,4
116,Linear Regression,diamonds_filter,Zero,86.91839960271895,1.097944048e-05,4
117,Linear Regression,diamonds_select,Conditional,99.62193206,0.008461,4
118,Linear Regression,diamonds_select,Copula,99.62193203,0.009452,4
119,Linear Regression,diamonds_select,Gaussian,99.62193204,0.009103,4
120,Linear Regression,diamonds_select,Marginal,99.62193206,0.017424757265,4
121,Linear Regression,diamonds_select,Mean,99.62193206,1.067156503e-05,4
123,Linear Regression,diamonds_select,Separate models,99.89621932,0.2174224854,4
124,Linear Regression,diamonds_select,Uniform,97.5333015,0.00022537022109999998,4
125,Linear Regression,diamonds_select,Zero,86.91839960271895,1.071697293e-05,4
126,Linear Regression,economics,Conditional,97.25655208,0.006708,4
127,Linear Regression,economics,Copula,97.25655213,0.007024,4
128,Linear Regression,economics,Gaussian,97.25655216,0.00879,4
129,Linear Regression,economics,Marginal,97.25655172,0.012914177495000002,4
130,Linear Regression,economics,Mean,96.25655172,1.223747354e-05,4
132,Linear Regression,economics,Separate models,99.9822696,0.2354571819,4
133,Linear Regression,economics,Uniform,97.25655172,0.00016589725020000001,4
134,Linear Regression,economics,Zero,86.91839960271895,1.085356662e-05,4
135,Linear Regression,iris,Conditional,99.8762028,0.008349,4
136,Linear Regression,iris,Copula,99.8762028,0.005304,4
137,Linear Regression,iris,Gaussian,99.87620284,0.009475,4
138,Linear Regression,iris,Marginal,99.87620285,0.01152584386,4
139,Linear Regression,iris,Mean,99.87620285,1.239247322e-05,4
141,Linear Regression,iris,Separate models,99.99876203,0.2041158676,4
142,Linear Regression,iris,Uniform,99.87487193,4.1620063780000004e-05,4
143,Linear Regression,iris,Zero,86.91839960271895,1.1214542389999999e-05,4
144,Linear Regression,petrol,Conditional,90.79491081,0.0051,4
145,Linear Regression,petrol,Copula,90.79490829,0.005054,4
146,Linear Regression,petrol,Gaussian,90.79490826,0.007777,4
147,Linear Regression,petrol,Marginal,90.79490831,0.004286929965,4
148,Linear Regression,petrol,Mean,90.79490831,1.184076071e-05,4
150,Linear Regression,petrol,Separate models,99.79490831,0.2418107986,4
151,Linear Regression,petrol,Uniform,91.18080336,1.04072094e-05,4
152,Linear Regression,petrol,Zero,86.91839960271895,1.190468669e-05,4
153,Linear Regression,power,Conditional,76.65256982,0.008816,4
154,Linear Regression,power,Copula,76.65256985,0.008931,4
155,Linear Regression,power,Gaussian,76.65257019,0.008896,4
156,Linear Regression,power,Marginal,99.7302074,0.021816615155,4
157,Linear Regression,power,Mean,99.7302074,1.223049742e-05,4
159,Linear Regression,power,Separate models,98.86688698,24.38265347,4
160,Linear Regression,power,Uniform,96.86242711,0.0002077160096,4
161,Linear Regression,power,Zero,86.91839960271895,1.0682575629999999e-05,4
162,Linear Regression,startups,Conditional,86.92381431,0.005234,4
163,Linear Regression,startups,Copula,86.9238146,0.005117,4
164,Linear Regression,startups,Gaussian,86.92381477,0.01375,4
165,Linear Regression,startups,Marginal,86.92381449,0.00631793948,4
166,Linear Regression,startups,Mean,86.92381449,1.34863573e-05,4
168,Linear Regression,startups,Separate models,96.92381449,0.2983458042,4
169,Linear Regression,startups,Uniform,86.87747311,9.223152609e-06,4
170,Linear Regression,startups,Zero,86.91839960271895,1.358438941e-05,4
171,Linear Regression,unemploy,Conditional,97.25655208,0.006603,4
172,Linear Regression,unemploy,Copula,97.25655213,0.008316,4
173,Linear Regression,unemploy,Gaussian,97.25655216,0.007816,4
174,Linear Regression,unemploy,Marginal,97.25655172,0.022597406975,4
175,Linear Regression,unemploy,Mean,97.25655172,1.0821267180000001e-05,4
177,Linear Regression,unemploy,Separate models,99.71094778,0.214274168,4
178,Linear Regression,unemploy,Uniform,97.25655172,0.00016670659069999998,4
179,Linear Regression,unemploy,Zero,86.91839960271895,1.096610019e-05,4
180,Linear Regression,airfoil,Conditional,99.79971327,0.009356,5
181,Linear Regression,airfoil,Copula,99.79971324,0.009598,5
182,Linear Regression,airfoil,Gaussian,99.79971325,0.00925,5
183,Linear Regression,airfoil,Marginal,99.73447078,0.022672757704999998,5
184,Linear Regression,airfoil,Mean,99.73447078,1.2177676870000001e-05,5
186,Linear Regression,airfoil,Separate models,99.99805985,1.062559366,5
187,Linear Regression,airfoil,Uniform,98.74540453,0.0006495157432999999,5
188,Linear Regression,airfoil,Zero,86.91839960271895,1.2308677040000001e-05,5
189,Linear Regression,airfoil-self-noise,Conditional,99.79971327,0.00907,5
190,Linear Regression,airfoil-self-noise,Copula,99.79971324,0.009625,5
191,Linear Regression,airfoil-self-noise,Gaussian,99.79971325,0.009497,5
192,Linear Regression,airfoil-self-noise,Marginal,99.73447078,0.021371134085,5
193,Linear Regression,airfoil-self-noise,Mean,99.73447078,1.195429311e-05,5
195,Linear Regression,airfoil-self-noise,Separate models,99.99805985,0.8318171501,5
196,Linear Regression,airfoil-self-noise,Uniform,98.75881442,0.00032448035720000003,5
197,Linear Regression,airfoil-self-noise,Zero,86.91839960271895,1.2083349809999998e-05,5
198,Linear Regression,linnerud,Conditional,97.85854574,0.005886,5
199,Linear Regression,linnerud,Copula,97.85854451,0.005085,5
200,Linear Regression,linnerud,Gaussian,97.85854479,0.01211,5
201,Linear Regression,linnerud,Marginal,97.85854428,0.0029841371945,5
202,Linear Regression,linnerud,Mean,97.85854428,1.672165734e-05,5
204,Linear Regression,linnerud,Separate models,98.85854428,0.577299118,5
205,Linear Regression,linnerud,Uniform,97.80866795,1.277800969e-05,5
206,Linear Regression,linnerud,Zero,86.91839960271895,1.500708716e-05,5
207,Linear Regression,sacramento,Conditional,99.29768105,0.008488,5
208,Linear Regression,sacramento,Copula,99.29768107,0.009001,5
209,Linear Regression,sacramento,Gaussian,99.29768107,0.009057,5
210,Linear Regression,sacramento,Marginal,99.29768106,0.02905406135,5
211,Linear Regression,sacramento,Mean,99.29768106,1.314399304e-05,5
213,Linear Regression,sacramento,Separate models,99.96620983,0.8664076328,5
214,Linear Regression,sacramento,Uniform,99.29768106,0.0006267879081,5
215,Linear Regression,sacramento,Zero,86.91839960271895,1.2193531190000001e-05,5
216,Linear Regression,uber,Conditional,86.91839960271895,0.009739,5
217,Linear Regression,uber,Copula,86.91839960271895,0.009547,5
218,Linear Regression,uber,Gaussian,86.91839960271895,0.009395,5
219,Linear Regression,uber,Marginal,99.49691783,0.029200563685000003,5
220,Linear Regression,uber,Mean,99.49691783,1.39439973e-05,5
222,Linear Regression,uber,Separate models,99.99950185,7.890060425,5
223,Linear Regression,uber,Uniform,99.64040486,0.0006391681767000001,5
224,Linear Regression,uber,Zero,86.91839960271895,1.2161840089999999e-05,5
225,Linear Regression,insurance,Conditional,99.55645744,0.010191,6
226,Linear Regression,insurance,Copula,99.55645693,0.010626,6
227,Linear Regression,insurance,Gaussian,99.55645745,0.008781,6
228,Linear Regression,insurance,Marginal,99.61852308,0.02734990734,6
229,Linear Regression,insurance,Mean,99.61852308,1.493054448e-05,6
231,Linear Regression,insurance,Separate models,99.98692481,2.464600563,6
232,Linear Regression,insurance,Uniform,98.152862,0.0006952046107999999,6
233,Linear Regression,insurance,Zero,86.91839960271895,1.3336304460000001e-05,6
234,Linear Regression,kiva,Conditional,91.21914225,0.010212,6
235,Linear Regression,kiva,Copula,91.21914277,0.010685,6
236,Linear Regression,kiva,Gaussian,91.21914206,0.008686,6
237,Linear Regression,kiva,Marginal,99.28201269,0.027862428895000003,6
238,Linear Regression,kiva,Mean,86.91839960271895,1.3517769900000001e-05,6
240,Linear Regression,kiva,Separate models,99.83303214,0.8419749737,6
241,Linear Regression,kiva,Uniform,95.19225104,0.0005636203265,6
242,Linear Regression,kiva,Zero,86.91839960271895,1.259720687e-05,6
243,Linear Regression,powerlifting,Conditional,99.50987104,0.009712,6
244,Linear Regression,powerlifting,Copula,99.50987111,0.010273,6
245,Linear Regression,powerlifting,Gaussian,99.50987103,0.009141,6
246,Linear Regression,powerlifting,Marginal,99.08145356,0.029206558360000003,6
247,Linear Regression,powerlifting,Mean,99.08145356,1.33719083e-05,6
249,Linear Regression,powerlifting,Separate models,99.84319872,5.171085835,6
250,Linear Regression,powerlifting,Uniform,99.08145356,0.0007006300354,6
251,Linear Regression,powerlifting,Zero,86.91839960271895,1.433438966e-05,6
252,Linear Regression,seeds,Conditional,99.26813549,0.006893,6
253,Linear Regression,seeds,Copula,99.26813533,0.005815,6
254,Linear Regression,seeds,Gaussian,99.26813541,0.005797,6
255,Linear Regression,seeds,Marginal,99.26813516,0.01756343565,6
256,Linear Regression,seeds,Mean,99.26813516,1.536756322e-05,6
258,Linear Regression,seeds,Separate models,99.8135156,1.56222105,6
259,Linear Regression,seeds,Uniform,99.26576868,0.00015874143960000001,6
260,Linear Regression,seeds,Zero,86.91839960271895,1.4179340309999999e-05,6
261,Linear Regression,walmart,Conditional,87.2200002,0.010058,6
262,Linear Regression,walmart,Copula,87.21999968,0.011168,6
263,Linear Regression,walmart,Gaussian,87.22000001,0.008805,6
264,Linear Regression,walmart,Marginal,99.91000106,0.0266729167,6
265,Linear Regression,walmart,Mean,99.91000106,1.3855847450000001e-05,6
267,Linear Regression,walmart,Separate models,99.99771928,2.142708778,6
268,Linear Regression,walmart,Uniform,99.54049046,0.0006985216618,6
269,Linear Regression,walmart,Zero,86.91839960271895,1.3187343419999999e-05,6
270,Linear Regression,yatch,Conditional,98.97322334,0.006262,6
271,Linear Regression,yatch,Copula,98.97322329,0.006371,6
272,Linear Regression,yatch,Gaussian,98.97322331,0.006288,6
273,Linear Regression,yatch,Marginal,98.97322333,0.019552544050000002,6
274,Linear Regression,yatch,Mean,98.97322333,1.5116298899999999e-05,6
276,Linear Regression,yatch,Separate models,99.97322333,1.520226002,6
277,Linear Regression,yatch,Uniform,99.05648085,0.0002086253905,6
278,Linear Regression,yatch,Zero,46.03507419,1.365572798e-05,6
279,Linear Regression,admission,Conditional,95.68548058,0.008516,7
280,Linear Regression,admission,Copula,95.68548054,0.008918,7
281,Linear Regression,admission,Gaussian,95.6854806,0.007578,7
282,Linear Regression,admission,Marginal,95.68547962,0.02544790528,7
283,Linear Regression,admission,Mean,95.68547962,1.6509128339999998e-05,7
285,Linear Regression,admission,Separate models,95.68547962,8.500993013,7
286,Linear Regression,admission,Uniform,94.28198449,0.000414843154,7
287,Linear Regression,admission,Zero,86.91839960271895,1.565145724e-05,7
288,Linear Regression,auto-mpg,Conditional,99.36880706,0.00788,7
289,Linear Regression,auto-mpg,Copula,99.36880708,0.008332,7
290,Linear Regression,auto-mpg,Gaussian,99.36880706,0.007609,7
291,Linear Regression,auto-mpg,Marginal,99.36880689,0.02922347454,7
292,Linear Regression,auto-mpg,Mean,99.36880689,1.4857567270000002e-05,7
294,Linear Regression,auto-mpg,Separate models,99.7914152,5.42494297,7
295,Linear Regression,auto-mpg,Uniform,99.36880689,0.0003713251376,7
296,Linear Regression,auto-mpg,Zero,86.91839960271895,1.547644689e-05,7
297,Linear Regression,autompg,Conditional,99.36880706,0.00839,7
298,Linear Regression,autompg,Copula,99.36880708,0.008303,7
299,Linear Regression,autompg,Gaussian,99.36880706,0.008803,7
300,Linear Regression,autompg,Marginal,99.36880689,0.030746234655,7
301,Linear Regression,autompg,Mean,99.36880689,1.64641417e-05,7
303,Linear Regression,autompg,Separate models,99.7931977,6.590853453,7
304,Linear Regression,autompg,Uniform,99.36880689,0.0001200689244,7
305,Linear Regression,autompg,Zero,86.91839960271895,1.5218533e-05,7
306,Linear Regression,chanceadmit,Conditional,99.52502095,0.008519,7
307,Linear Regression,chanceadmit,Copula,99.52502094,0.008256,7
308,Linear Regression,chanceadmit,Gaussian,99.52502095,0.006903,7
309,Linear Regression,chanceadmit,Marginal,99.5250208,0.030637014365,7
310,Linear Regression,chanceadmit,Mean,99.5250208,1.602116859e-05,7
