Replace,accuracy,time
Zero,25.78368557,0.002069906194
Mean,69.06439231,0.002087755044
Uniform,96.28115438,0.8774968985
Conditional,98.61466058,0.04815082178
Copula,98.61444473,0.05542590099
Marginal,98.61426444,0.05242986139
Gaussian,98.61381941,0.05568111881
Separate models,98.6275252,3681.329382
