,Model,dataset,Replacement Strategy,accuracy,time,features
96,XGBoost,blood,Conditional,99.90298487,0.007331,4
97,XGBoost,blood,Gaussian,99.90298448,0.007732,4
98,XGBoost,blood,Copula,99.90298476,0.007717,4
99,XGBoost,challenger,Separate models,53.66492348,44.13023543,4
100,XGBoost,challenger,Zero,81.03957732986822,9.961336851e-05,4
101,XGBoost,challenger,Mean,76.12802316,0.0002100333571,4
103,XGBoost,challenger,Uniform,81.03957732986822,2.5313854220000002e-05,4
104,XGBoost,challenger,Marginal,53.66514034,0.0002492,4
105,XGBoost,challenger,Conditional,53.66513706,0.00431,4
106,XGBoost,challenger,Gaussian,53.66513879,0.004926,4
107,XGBoost,challenger,Copula,53.66513768,0.004771,4
108,XGBoost,const-maint,Separate models,99.57566919,46.75792694,4
109,XGBoost,const-maint,Zero,81.03957732986822,4.6585473149999997e-05,4
110,XGBoost,const-maint,Mean,60.53615356,0.00014513145789999998,4
112,XGBoost,const-maint,Uniform,41.4605569,5.761497671e-05,4
113,XGBoost,const-maint,Marginal,99.57566992,0.00104955,4
114,XGBoost,const-maint,Conditional,99.57567005,0.005012,4
115,XGBoost,const-maint,Gaussian,99.57567045,0.004611,4
116,XGBoost,const-maint,Copula,99.57567009,0.00431,4
117,XGBoost,diamonds_filter,Separate models,99.95725305,76.51719165,4
118,XGBoost,diamonds_filter,Zero,81.03957732986822,6.41972248e-05,4
119,XGBoost,diamonds_filter,Mean,87.02933227,6.78471965e-05,4
121,XGBoost,diamonds_filter,Uniform,93.85843673,0.001895487982,4
122,XGBoost,diamonds_filter,Marginal,99.95721562,0.00039185,4
123,XGBoost,diamonds_filter,Conditional,99.9572156,0.006663,4
124,XGBoost,diamonds_filter,Gaussian,99.95721564,0.006965,4
125,XGBoost,diamonds_filter,Copula,99.95721563,0.007038,4
126,XGBoost,diamonds_select,Separate models,99.94999702,381.1906729,4
127,XGBoost,diamonds_select,Zero,81.03957732986822,6.553430990999999e-05,4
128,XGBoost,diamonds_select,Mean,56.79337998,6.037851536e-05,4
130,XGBoost,diamonds_select,Uniform,99.57210859,0.003067203943,4
131,XGBoost,diamonds_select,Marginal,99.94687089,0.000477,4
132,XGBoost,diamonds_select,Conditional,99.9468709,0.008676,4
133,XGBoost,diamonds_select,Gaussian,99.94687081,0.009055,4
134,XGBoost,diamonds_select,Copula,99.94687082,0.008892,4
135,XGBoost,economics,Separate models,98.48176045,84.59781837,4
136,XGBoost,economics,Zero,81.03957732986822,6.632247724e-05,4
137,XGBoost,economics,Mean,99.95657441,6.725326337e-05,4
139,XGBoost,economics,Uniform,81.03957732986822,0.001598591508,4
140,XGBoost,economics,Marginal,98.48183321,0.00038675,4
141,XGBoost,economics,Conditional,98.48183345,0.006786,4
142,XGBoost,economics,Gaussian,98.48183362,0.006952,4
143,XGBoost,economics,Copula,98.48183346,0.006868,4
144,XGBoost,iris,Separate models,99.78995576,46.76688051,4
145,XGBoost,iris,Zero,81.03957732986822,6.215415001e-05,4
146,XGBoost,iris,Mean,84.59647966,6.629314423e-05,4
148,XGBoost,iris,Uniform,82.85459341,0.0004005557966,4
149,XGBoost,iris,Marginal,99.78996592,0.000234,4
150,XGBoost,iris,Conditional,99.78996593,0.005465,4
151,XGBoost,iris,Gaussian,99.78996575,0.004834,4
152,XGBoost,iris,Copula,99.78996586,0.00476,4
153,XGBoost,petrol,Separate models,99.92534004,302.2879186,4
154,XGBoost,petrol,Zero,81.03957732986822,5.9197247029999994e-05,4
155,XGBoost,petrol,Mean,88.46329349,8.346408606e-05,4
157,XGBoost,petrol,Uniform,81.03957732986822,0.0001030051708,4
158,XGBoost,petrol,Marginal,99.92534004,0.00026974999999999997,4
159,XGBoost,petrol,Conditional,99.92534017,0.004633,4
160,XGBoost,petrol,Gaussian,99.9253401,0.004505,4
161,XGBoost,petrol,Copula,99.92534008,0.004677,4
162,XGBoost,power,Separate models,99.7356893,395.6845477,4
163,XGBoost,power,Zero,81.03957732986822,6.344462886e-05,4
