,Approximation,Model,Dataset,Accuracy,Time,Features
836,CES,xg,facebook,95.12625203,11.46038592,11
1111,CES,xg,income,95.73663662,9.678174075,13
1112,Cohort,xg,income,95.73663662,9.678174075,13
1002,Cohort,xg,pumpkinseed,99.92836617,9.570840492,12
1001,CES,xg,pumpkinseed,99.92836617,9.570840492,12
946,CES,xg,bikehourly,99.68414189,9.309311164,12
947,Cohort,xg,bikehourly,99.68414189,9.309311164,12
1013,Cohort,xg,seoulbike,96.91467379,9.306391838,12
1012,CES,xg,seoulbike,96.91467379,9.306391838,12
1057,Cohort,xg,wine,99.87126957,9.287044365,12
1056,CES,xg,wine,99.87126957,9.287044365,12
936,Cohort,xg,airquality,99.43952731,9.24248628,12
935,CES,xg,airquality,99.43952731,9.24248628,12
925,Cohort,xg,adult,99.11259922,9.114465394,12
924,CES,xg,adult,99.11259922,9.114465394,12
913,CES,xg,winequality-white,92.89733389,8.5926377,11
914,Cohort,xg,winequality-white,92.89733389,8.5926377,11
892,Cohort,xg,winequality,99.87197375,8.484760122,11
891,CES,xg,winequality,99.87197375,8.484760122,11
748,CES,xg,abalone,83.66306193,8.39078832,10
749,Cohort,xg,abalone,83.66306193,8.39078832,10
881,Cohort,xg,telecom,99.89211402,8.357201985,11
880,CES,xg,telecom,99.89211402,8.357201985,11
902,CES,xg,winequality-red,99.16746297,8.184328142,11
903,Cohort,xg,winequality-red,99.16746297,8.184328142,11
815,Cohort,xg,telescope,99.9941321,7.573556105,10
814,CES,xg,telescope,99.9941321,7.573556105,10
770,CES,xg,poker,99.8980368,7.396674803,10
771,Cohort,xg,poker,99.8980368,7.396674803,10
672,Cohort,xg,casp,65.46728573,7.179346416,9
671,CES,xg,casp,65.46728573,7.179346416,9
737,CES,xg,precip,50.0,6.948227917,9
738,Cohort,xg,precip,50.0,6.948227917,9
693,CES,xg,employee,97.75776254,6.947091316,9
694,Cohort,xg,employee,97.75776254,6.947091316,9
562,Cohort,xg,crab,53.76108919,6.796341661,8
561,CES,xg,crab,53.76108919,6.796341661,8
716,Cohort,xg,friedman,99.23382245,6.724173508,9
715,CES,xg,friedman,99.23382245,6.724173508,9
529,Cohort,xg,californiahousing,99.07695884,6.136128637,8
528,CES,xg,californiahousing,99.07695884,6.136128637,8
826,Cohort,xg,bikedaily,99.94845348,6.10433176,11
