,Model,Replacement,Dataset,MSE,R2,Time
0,dt,Zero,Housing_Data,0.0972,64.45546474111339,0.1252907943725586
1,dt,Zero,echocardiogram,0.16993801652892565,79.49282429167211,0.12464946508407593
2,dt,Zero,Car_sales,80.8737154832347,91.09312119603672,1.3505274928533113
3,dt,Zero,monk-1,0.3268266666666666,85.19767919243553,0.008560779094696045
4,dt,Zero,glass,1.9835047058564217,95.548308455019,0.03409020329864932
5,dt,Zero,auto-mpg,0.7271666666666667,99.65519366930855,0.013925054073333741
6,dt,Zero,drug200,0.2175925925925926,66.64983886356747,0.004888194980043353
7,dt,Zero,sales-cars,42.333333333333336,71.57964510225264,0.00033744176228841144
8,dt,Zero,healthcare-dataset-stroke-data,0.2942005555555557,75.79160189299225,0.20592830181121827
9,dt,Zero,nursery,1.8085005102040819,96.01783362459112,0.1403888440132141
10,dt,Zero,hr-evaluation,0.17658388888888898,74.81088954160447,1.0732653284072875
11,dt,Zero,breast-cancer,0.20214219759926125,82.93412478467978,0.031659412384033206
12,dt,Zero,Salaries,0.47229999999999994,67.84033329693348,0.004004402160644531
13,dt,Zero,diabetes,0.23230277777777775,61.4626769707317,0.026009273529052735
14,dt,Zero,heart-c,0.2137777777777778,66.55339352000034,0.5498210740089416
15,dt,Zero,results,54.347566574839306,76.75796590597473,0.012314507455536814
16,dt,Zero,SacramentocrimeJanuary2006,2358087.443701587,76.02367826912946,0.09728780031204223
17,dt,Zero,v3_Latest_Data_Science_Salaries,669.9974369047618,65.57456006991177,0.10928594112396241
18,dt,Zero,insurance,0.2555138888888889,72.90694733001769,0.013819336891174316
19,dt,Zero,wine,0.6369178716205434,80.48279775987794,0.5521853657092078
20,dt,Zero,hungarian-heart-disease,0.19879321116201587,83.46013415054043,0.9447847166839911
21,dt,Zero,laptop_price,21.540774999999993,76.94882004893823,0.28226848602294924
22,dt,Zero,pima-indians-diabetes,1.1060776530612244,70.47402526806745,0.0420284628868103
23,dt,Zero,tic-tac-toe,0.27644111111111114,97.41026566907198,0.041290833950042724
24,dt,Zero,adult,0.15815922430083146,89.72960212298979,2.301637008190155
25,dt,Zero,Titanic_Test,519.7021072796935,71.70532050791135,0.09103808731868349
26,dt,Zero,Data_Preprocessing,0.0,100.0,0.0012252330780029297
27,dt,Zero,haberman,0.15283333333333332,82.86087963662129,0.0028832697868347167
28,dt,Zero,ElectronicsData,34.09725277777778,75.7991441136773,0.00916959285736084
29,dt,Zero,500_Person_Gender_Height_Weight_Index,0.2759444444444445,95.7063108790455,0.003501255512237549
30,dt,Zero,births,0.28281666666666666,98.30338286583044,0.06443985939025879
31,dt,Zero,Cust_Segmentation,41.490680555555564,66.12007828034906,0.04063274145126343
32,dt,Zero,drug_dt,0.2849326599326599,69.01069668926786,0.006698398879080108
33,dt,Zero,Data_Uk,17660.19615751134,86.51336231488077,0.06794559240341186
34,dt,Zero,heart-statlog,0.21450617283950618,66.55613111646598,0.6208827124701606
35,dt,Zero,phoneme,0.250745,81.90454220712193,0.03641350746154785
36,dt,Zero,Churn_Modelling,1088140.3114732034,75.28247401083128,1.1237548542022706
37,dt,Zero,wilt,0.1325888888888889,71.06532763264244,0.03379505634307861
38,dt,Zero,airport-frequencies,7041935.502541669,88.85220854894999,0.12693856954574584
39,dt,Zero,magic,0.2386579352481732,66.4197737196175,0.4187659192085266
40,dt,Zero,sales-records,5.066430555555557,99.21184292212664,0.6644374823570252
41,dt,Zero,hayes-roth,0.975034435261708,66.70886026325871,0.0019660646265203304
42,dt,Zero,housing,3.141738888888889,69.40848022443717,0.3421503567695618
43,dt,Zero,monk-2,0.1260161111111111,71.01765925804642,0.013484351634979248
44,dt,Zero,FuelConsumption,151.48171479591835,66.52467204916303,0.279447979927063
45,dt,Zero,cleveland,0.9778972222222221,90.05589809984959,0.6087966513633728
46,dt,Zero,Titanic_Data,1986.6663252112633,61.79595622744824,0.19433110659239722
47,dt,Zero,employees,3477.1545805555547,99.11472476066918,0.016139774322509765
48,dt,Zero,Mall_Customers,0.31449915824915825,92.57366657080665,0.003849434130119555
49,dt,Zero,50_Startups,1.093425605536332,63.418637628989806,0.0015996764687930837
50,dt,Zero,weight-height,0.36329999999999996,79.1794067466613,0.016363563537597655
51,dt,Zero,AirPassengers,1449.6957465277776,72.09044308653912,0.00033783912658691406
52,dt,Zero,titanic,0.11560000000000004,61.39482133605701,0.0078076934814453125
53,dt,Zero,imdrating,60899.43648666666,69.14388114262351,0.008983571529388428
54,dt,Zero,advertising_classification,127711.32852986676,64.84766285173548,0.044363620281219485
55,dt,Zero,Bmi_male_female,0.2904111111111111,81.05704411298754,0.0035390496253967286
56,dt,Zero,FuelConsumptionCo2,175.55971336734692,62.31653307249757,0.2848499655723572
57,dt,Zero,poker-hand,0.35842143644494834,70.6532864177078,16.243275852203368
58,dt,Zero,iris,0.57,68.590850105312,0.0028453636169433593
59,dt,Zero,crime_data,298.0712226066897,82.19641118483179,0.002206563949584961
60,dt,Zero,census_data,1.1956803908415217,85.6585105818527,1.3539596676826477
61,dt,Zero,balance-scale,0.3592638888888889,99.05355312219449,0.005910162925720215
62,dt,Zero,car,1.0301816666666666,89.6055912912242,0.01390049695968628
63,dt,Zero,bupa-liver-disorders,0.2510944444444444,73.11723005528845,0.008788225650787353
64,dt,Zero,jobs_in_data,753.6367798639454,68.24645869985599,0.2744067120552063
65,dt,Zero,movie_data,217433.3975,90.58052868298898,0.4021388363838196
66,dt,Zero,cars,454.06242172017437,62.53623025682884,0.014455411626004624
67,dt,Zero,uforeports,322081.33913333336,79.86540490906215,0.01053253173828125
68,dt,Zero,monk-3,0.267,97.90180620583486,0.008679554462432862
69,dt,Zero,ecoli,5.031513888888888,71.84969733861027,0.012344837188720703
70,knn,Zero,Housing_Data,0.015386564625850342,72.5821047848864,0.5351537227630615
71,knn,Zero,echocardiogram,0.1464358344400036,96.41223838337505,0.4659927108071067
72,knn,Zero,Car_sales,80.80540458226595,97.21572159643569,4.652194596253908
73,knn,Zero,monk-1,0.28698833333333335,65.85739376717667,0.015723557472229005
74,knn,Zero,glass,1.4486051693135686,78.16506285749388,0.10542369896257428
75,knn,Zero,auto-mpg,0.39011361678004536,89.4771682457606,0.029432649612426757
76,knn,Zero,drug200,0.36187213039485766,98.50752219165749,0.008184606378728693
77,knn,Zero,sales-cars,96.00000000000001,78.10487253865894,0.0006525119145711263
78,knn,Zero,healthcare-dataset-stroke-data,0.15239130177262217,75.77495784923924,1.2506080150604248
79,knn,Zero,nursery,1.738730113378685,73.19773733186965,0.20356892585754394
80,knn,Zero,hr-evaluation,0.04393944444444445,80.86973104403157,4.4384672689437865
81,knn,Zero,breast-cancer,0.09596647782432965,61.15235789677785,0.10639000942832545
