,Model,Algorithm,Dataset,MSE,R2,Time
0,knn,Uniform,Housing_Data,0.0001882050000000001,99.35324742268041,3.839466073513031
1,knn,Uniform,melb_data,224.83307957249988,96.81521160382432,3.009312334060669
2,knn,Uniform,echocardiogram,0.0009144974173553724,99.57846023809523,2.418394912372936
3,knn,Uniform,Car_sales,1.050025029585798,98.88991805951419,4.792750830833729
4,knn,Uniform,monk-1,0.0004595799999999995,99.81133825944171,1.8943390679359435
5,knn,Uniform,glass,0.06564048958539975,94.3572014324693,2.7165130360025755
6,knn,Uniform,connect-4,0.003994374999999994,98.94300740936755,29.272924616336823
7,knn,Uniform,auto-mpg,0.0028429749999999998,99.53271285338593,2.263518662452698
8,knn,Uniform,drug200,0.0006947263544536277,99.70901653846154,3.682908058166504
9,knn,Uniform,sales-cars,2.2149508888888905,97.55853545621555,1.6143787105878193
10,knn,Uniform,healthcare-dataset-stroke-data,0.002701452500000001,98.8644588062211,3.3777276182174685
11,knn,Uniform,nursery,0.04577076250000001,97.22450048511308,2.717296845912933
12,knn,Uniform,nba_logreg,837.8439935849997,97.167933060237,2.0588491559028625
13,knn,Uniform,hr-evaluation,0.00019696,99.3231615120275,10.926320514678956
14,knn,Uniform,seismic-bumps,0.00012924749999999996,99.34057397959184,2.1805374956130983
15,knn,Uniform,breast-cancer,0.004957892659279778,96.77164637445887,2.1080742961482
16,knn,Uniform,covertype,0.013764364999999983,99.17534210053323,329.7114433479309
17,knn,Uniform,Salaries,0.026888485000000007,94.92670094339623,3.020358529090881
18,knn,Uniform,diabetes,0.0008973975000000006,99.58759306066176,2.397325849533081
19,knn,Uniform,audiology,0.7595301433333335,98.27493820004119,4.082104994455974
20,knn,Uniform,deliveries,0.5474855750000001,96.22642348570484,4.726953997611999
21,knn,Uniform,heart-c,0.0010454874999999996,99.56438020833333,2.7517714285850525
22,knn,Uniform,churn,0.001386675,96.3888671875,4.087605366706848
23,knn,Uniform,vote,0.0034337625,98.60642755681818,2.972660961151123
24,knn,Uniform,results,1.9536292210743809,97.36864614140653,2.2024908210292007
25,knn,Uniform,sonar,0.007545398288174753,96.73421443181817,1.9468466751817344
26,knn,Uniform,SacramentocrimeJanuary2006,11685.374454952504,98.22847807212864,2.2739740347862245
27,knn,Uniform,v3_Latest_Data_Science_Salaries,2.7650929849999977,99.33238760465348,3.038352038860321
28,knn,Uniform,insurance,0.0013751,99.44996,3.806095027923584
29,knn,Uniform,wine,0.005982247486354494,98.97920571078431,2.8242787344981046
30,knn,Uniform,hungarian-heart-disease,0.0013350279050395651,99.39291628787879,2.275790338613549
31,knn,Uniform,laptop_price,1.2029297624999993,93.22659427858736,4.877194113731385
32,knn,Uniform,pima-indians-diabetes,0.01698498499999999,98.34308994244464,2.4824146318435667
33,knn,Uniform,tic-tac-toe,0.0025800050000000007,98.65904106029106,2.5119610953330995
34,knn,Uniform,adult,0.0009051900000000008,99.4725,11.77585884809494
35,knn,Uniform,Titanic_Test,5.491137973543403,91.98756500147476,2.0758314790396857
36,knn,Uniform,Data_Preprocessing,0.0,100.0,2.0307331879933677
37,knn,Uniform,haberman,0.00020376999999999985,99.83075581395349,2.346107232570648
38,knn,Uniform,ElectronicsData,0.1362690974999998,99.68478117626648,2.187114019393921
39,knn,Uniform,500_Person_Gender_Height_Weight_Index,0.0011624774999999996,99.51135876418662,2.069111342430115
40,knn,Uniform,births,0.0102822875,95.63570140067912,2.1199932432174684
41,knn,Uniform,airports,0.5096648833333336,99.26490641826923,1.421866814295451
42,knn,Uniform,credit-g,0.0015426550000000006,99.07012959614225,3.152865889072418
43,knn,Uniform,lymphography,0.011225437317784265,96.56220982142857,1.6378510241605797
44,knn,Uniform,Cust_Segmentation,0.17837772499999985,99.24766881062843,2.080888180732727
45,knn,Uniform,flag,0.014061879881656804,99.19102066312637,4.235119731609638
46,knn,Uniform,drug_dt,0.0004792977502295686,99.79924798076924,2.159530607136813
47,knn,Uniform,cylinder-bands,0.01732996249999999,91.7476369047619,1.7778373265266418
48,knn,Uniform,Data_Uk,668.9033169450003,93.20423775348556,2.4779186725616453
49,knn,Uniform,heart-statlog,0.0011081342592592599,99.54872360482655,4.748202045758565
50,knn,Uniform,phoneme,0.003780390000000003,98.31533422459893,2.1869250917434693
51,knn,Uniform,Churn_Modelling,4693.872981147503,96.67704940236025,5.628987605571747
52,knn,Uniform,wilt,0.00016721500000000004,99.56454427083334,3.6503069496154783
53,knn,Uniform,airport-frequencies,26605.986365354926,99.6077442239248,1.9872752571105956
54,knn,Uniform,magic,0.0019492350000000006,98.960408,3.8862226009368896
55,knn,Uniform,sales-records,0.08164797249999997,98.12195577918344,6.193603053092956
56,knn,Uniform,hayes-roth,0.010767294421487612,97.35127293519696,2.283900558948517
57,knn,Uniform,housing,0.013709634999999993,99.2547491302457,2.9181340551376342
58,knn,Uniform,segment,0.08669781250000007,97.94574418301582,1.9199916267395019
59,knn,Uniform,monk-2,0.003178135,98.48660238095238,1.9224327254295348
60,knn,Uniform,autos,0.0885723925173011,92.97136188433154,1.5075514351620394
61,knn,Uniform,FuelConsumption,4.149485699999994,96.03252233775548,4.748595180511475
62,knn,Uniform,cleveland,0.024151207500000008,96.99462325783972,2.5588167095184327
63,knn,Uniform,Titanic_Data,14.895603375235133,98.5242249325103,3.7321845390757575
64,knn,Uniform,employees,128.82267643000006,88.83930910590185,2.2896286249160767
65,knn,Uniform,Mall_Customers,0.001574270661157024,99.31969017857143,2.273140975923249
66,knn,Uniform,50_Startups,0.007398852076124568,98.97198641826922,3.6286783919614902
67,knn,Uniform,weight-height,0.00025242000000000016,99.899032,1.7989748811721802
68,knn,Uniform,ToyotaCorolla,111.05802247499987,98.05241573799212,2.737717092037201
69,knn,Uniform,AirPassengers,1.9309309166666673,99.84071871617319,1.9903807838757832
70,knn,Uniform,mushroom,0.0010527424999999997,99.578903,3.135569758415222
71,knn,Uniform,zoo,0.24453137413494788,92.89038560110666,1.6105590497746187
